lead,length,model,region,subset,gcm_accuracy,obs_accuracy,gcm_acc_low,gcm_acc_high
0,36,ACCESS-ESM1-5,global,all,0.42439303874780954,0.39230435200993796,0.4151349767601277,0.43744914989752376
0,36,ACCESS-ESM1-5,global,top40,0.49328538016448237,0.45400364801069787,0.48026432434015304,0.5107815814669466
0,36,ACCESS-ESM1-5,global,top20,0.5333637227805038,0.49767989495093773,0.5213151703012696,0.549299890466649
0,36,ACCESS-ESM1-5,north_pacific,all,0.4452258113152858,0.4060040479677725,0.43623984212894995,0.4551120042609841
0,36,ACCESS-ESM1-5,north_pacific,top40,0.5297211365002547,0.48623859366906474,0.5185282906346418,0.5417040032905095
0,36,ACCESS-ESM1-5,north_pacific,top20,0.5779407142267248,0.5555595940510045,0.562566729478298,0.5911053395612224
0,36,ACCESS-ESM1-5,tropical_pacific,all,0.4506589420485,0.4043275139787106,0.43998741554341037,0.46024112826169694
0,36,ACCESS-ESM1-5,tropical_pacific,top40,0.5385256941980547,0.4857623255461139,0.5215702662815505,0.553279903961482
0,36,ACCESS-ESM1-5,tropical_pacific,top20,0.591643961920112,0.5443872667896601,0.5677776108926533,0.6170117729287664
0,36,ACCESS-ESM1-5,southern_ocean,all,0.42736629035140705,0.40006735221545364,0.3937844853176856,0.45576755307523753
0,36,ACCESS-ESM1-5,southern_ocean,top40,0.49654652596178794,0.4677120317015912,0.4487244698965936,0.5522880951393353
0,36,ACCESS-ESM1-5,southern_ocean,top20,0.5320601313706447,0.5035323001304547,0.47692464618502195,0.6124250562518357
0,36,ACCESS-ESM1-5,north_atlantic,all,0.5010488398573296,0.4542744309576421,0.47388386250967607,0.5223537492837899
0,36,ACCESS-ESM1-5,north_atlantic,top40,0.6259353167636539,0.5536021838644822,0.5755703023036625,0.6640664726899049
0,36,ACCESS-ESM1-5,north_atlantic,top20,0.7040595393823403,0.5953675369361908,0.6358782036383502,0.7433144952263128
0,36,ACCESS-ESM1-5,tropical_atlantic,all,0.4198434525885412,0.4235454517003282,0.37966311514359824,0.45076603204379184
0,36,ACCESS-ESM1-5,tropical_atlantic,top40,0.48243718852159956,0.5102124085101811,0.4150215621581564,0.5272892315021339
0,36,ACCESS-ESM1-5,tropical_atlantic,top20,0.5188772582193815,0.5662439741897499,0.44046278600857675,0.578398617272586
0,36,ACCESS-ESM1-5,west_indian,all,0.42353126277883957,0.3448240614195503,0.40383609170596024,0.4544097685583836
0,36,ACCESS-ESM1-5,west_indian,top40,0.49550188970277365,0.38470553210425895,0.4653335634594255,0.5551353598537279
0,36,ACCESS-ESM1-5,west_indian,top20,0.5361070580497524,0.43239613672934957,0.4831652396639595,0.6011988570399198
0,36,CanESM5,global,all,0.4301875309576667,0.3989732258580633,0.42276426206311934,0.4380375283926161
0,36,CanESM5,global,top40,0.5026032220617157,0.4562745439291873,0.4880667012486961,0.5146168868313079
0,36,CanESM5,global,top20,0.5438924687611093,0.4956790462725521,0.5233219004610826,0.5573993227839107
0,36,CanESM5,north_pacific,all,0.43468909914155207,0.40920257823062584,0.4206546430063674,0.44577202128857374
0,36,CanESM5,north_pacific,top40,0.5158204808222431,0.48060881976173486,0.494953225687946,0.5338543831260892
0,36,CanESM5,north_pacific,top20,0.5620526765251065,0.5359544281218758,0.5414929022169257,0.5804363774019701
0,36,CanESM5,tropical_pacific,all,0.41174880284755194,0.41186285355831614,0.3904175164450966,0.4326161771845948
0,36,CanESM5,tropical_pacific,top40,0.47846915860785544,0.4818122356806421,0.4463317896599543,0.5111868200973746
0,36,CanESM5,tropical_pacific,top20,0.5214870747465665,0.5275816248419256,0.4776205312619694,0.5613001644383625
0,36,CanESM5,southern_ocean,all,0.5328144078683108,0.42698506503805994,0.512990703610815,0.5454109623045086
0,36,CanESM5,southern_ocean,top40,0.6600306998987244,0.50416406607788,0.6329910006586699,0.6775223065271186
0,36,CanESM5,southern_ocean,top20,0.7236974338037674,0.552070830719249,0.6996995492641295,0.7483052048206815
0,36,CanESM5,north_atlantic,all,0.44670759870408555,0.46371298845279624,0.42364006601532855,0.46579126321368786
0,36,CanESM5,north_atlantic,top40,0.537007110058745,0.5467257559936106,0.5032227945767858,0.5648360143433745
0,36,CanESM5,north_atlantic,top20,0.5866574496992837,0.5706233522140988,0.5556249250297488,0.6272071222617341
0,36,CanESM5,tropical_atlantic,all,0.41240245746422033,0.43157732454504694,0.40674796950525394,0.4253910754919448
0,36,CanESM5,tropical_atlantic,top40,0.471332481939716,0.5199015709987562,0.4626067572604103,0.4878238687374725
0,36,CanESM5,tropical_atlantic,top20,0.5005462119670315,0.5747064916624793,0.4843535769079821,0.5163487293864576
0,36,CanESM5,west_indian,all,0.4119898043257785,0.3563677956470676,0.39930781990875136,0.43629548121591494
0,36,CanESM5,west_indian,top40,0.4734179866945432,0.3917647219343325,0.4496143434700354,0.48769457349598994
0,36,CanESM5,west_indian,top20,0.5100084605210075,0.43838099483299214,0.47202678178759955,0.5305417346648384
0,36,CNRM-CM6-1,global,all,0.41570252065515606,0.39834600099634737,0.3982336285943328,0.4366072831990052
0,36,CNRM-CM6-1,global,top40,0.47215124474829917,0.45561329702165765,0.4500972300791773,0.496504057504085
0,36,CNRM-CM6-1,global,top20,0.5047636374908382,0.4942128805883973,0.48269052823308606,0.5256200138483959
0,36,CNRM-CM6-1,north_pacific,all,0.45126904939137014,0.4130414728972878,0.41734692894583,0.4972057675225158
0,36,CNRM-CM6-1,north_pacific,top40,0.5324650981891556,0.4878412353896974,0.4786524091080822,0.5868348355463693
